time, Quad.Est.E.Pos, Quad.Est.S.Z
1.385009,0.047968,0.351758
1.390009,0.048061,0.352030
1.395009,0.048213,0.352438
1.400009,0.048317,0.352712
1.405010,0.025399,0.350291
1.410010,0.025403,0.350548
1.415010,0.025410,0.350935
1.420010,0.025427,0.351193
1.425011,0.025453,0.351582
1.430011,0.025470,0.351843
1.435011,0.025473,0.352235
1.440011,0.025480,0.352497
1.445011,0.025492,0.352892
1.450012,0.025507,0.353156
1.455012,0.025554,0.353553
1.460012,0.025612,0.353819
1.465012,0.025705,0.354219
1.470013,0.025771,0.354487
1.475013,0.025858,0.354889
1.480013,0.025911,0.355159
1.485013,0.026062,0.355564
1.490014,0.026192,0.355835
1.495014,0.026391,0.356243
1.500014,0.026524,0.356516
1.505014,0.026505,0.354067
1.510015,0.026506,0.354324
1.515015,0.026513,0.354710
1.520015,0.026532,0.354969
1.525015,0.026575,0.355358
1.530015,0.026595,0.355618
1.535016,0.026641,0.356010
1.540016,0.026715,0.356272
1.545016,0.026863,0.356666
1.550016,0.026980,0.356930
1.555017,0.027155,0.357326
1.560017,0.027277,0.357592
1.565017,0.027461,0.357991
1.570017,0.027589,0.358258
1.575018,0.027792,0.358660
1.580018,0.027950,0.358928
1.585018,0.028220,0.359333
1.590018,0.028434,0.359603
1.595019,0.028785,0.360010
1.600019,0.029034,0.360282
1.605019,0.080507,0.357810
1.610019,0.080666,0.358067
1.615019,0.080914,0.358453
1.620020,0.081078,0.358711
1.625020,0.081377,0.359099
1.630020,0.081591,0.359359
1.635020,0.081915,0.359750
1.640021,0.082109,0.360011
1.645021,0.082389,0.360405
1.650021,0.082589,0.360668
1.655021,0.082902,0.361063
1.660022,0.083106,0.361328
1.665022,0.083388,0.361726
1.670022,0.083571,0.361992
1.675022,0.083842,0.362393
1.680022,0.084024,0.362661
1.685023,0.084271,0.363064
1.690023,0.084430,0.363334
1.695023,0.084652,0.363739
1.700023,0.084797,0.364010
1.705024,0.063239,0.361520
1.710024,0.063206,0.361776
1.715024,0.063153,0.362161
1.720024,0.063123,0.362418
1.725025,0.063120,0.362806
1.730025,0.063137,0.363065
1.735025,0.063198,0.363455
1.740025,0.063249,0.363715
1.745026,0.063315,0.364108
1.750026,0.063348,0.364370
1.755026,0.063420,0.364764
1.760026,0.063489,0.365028
1.765026,0.063607,0.365425
1.770027,0.063703,0.365690
1.775027,0.063848,0.366090
1.780027,0.063944,0.366357
1.785027,0.064103,0.366758
1.790028,0.064235,0.367027
1.795028,0.064407,0.367431
1.800028,0.064514,0.367701
1.805028,0.074396,0.365195
1.810029,0.074471,0.365450
1.815029,0.074565,0.365834
1.820029,0.074603,0.366091
1.825029,0.074645,0.366478
1.830029,0.074664,0.366736
1.835030,0.074656,0.367125
1.840030,0.074642,0.367384
1.845030,0.074656,0.367775
1.850030,0.074674,0.368037
1.855031,0.074722,0.368430
1.860031,0.074779,0.368693
1.865031,0.074917,0.369088
1.870031,0.075016,0.369353
1.875032,0.075149,0.369750
1.880032,0.075232,0.370016
1.885032,0.075374,0.370416
1.890032,0.075491,0.370684
1.895033,0.075712,0.371086
1.900033,0.075861,0.371355
1.905033,0.058295,0.368837
1.910033,0.058361,0.369091
1.915033,0.058465,0.369474
1.920034,0.058541,0.369730
1.925034,0.058679,0.370115
1.930034,0.058760,0.370373
1.935034,0.058870,0.370760
1.940035,0.058950,0.371019
1.945035,0.059059,0.371408
1.950035,0.059143,0.371668
1.955035,0.059249,0.372060
1.960036,0.059329,0.372322
1.965036,0.059502,0.372716
1.970036,0.059638,0.372979
1.975036,0.059828,0.373375
1.980036,0.059944,0.373640
1.985037,0.060135,0.374038
1.990037,0.060265,0.374304
1.995037,0.060479,0.374705
2.000037,0.060617,0.374972
2.005037,0.057595,0.372445
2.010037,0.057720,0.372699
2.015036,0.057946,0.373080
2.020036,0.058101,0.373335
2.025036,0.058302,0.373719
2.030035,0.058426,0.373975
2.035035,0.058620,0.374361
2.040035,0.058747,0.374619
2.045034,0.058938,0.375006
2.050034,0.059073,0.375266
2.055033,0.059257,0.375655
2.060033,0.059363,0.375916
2.065033,0.059567,0.376308
2.070032,0.059721,0.376570
2.075032,0.059966,0.376965
2.080032,0.060137,0.377228
2.085031,0.060425,0.377625
2.090031,0.060624,0.377890
2.095031,0.060935,0.378288
2.100030,0.061168,0.378554
2.105030,0.075392,0.376021
2.110029,0.075517,0.376273
2.115029,0.075691,0.376653
