time, Quad.IMU.AX
0.789993,0.497929
0.794993,-0.984443
0.799993,-0.173679
0.804993,0.089477
0.809993,-0.447237
0.814993,-0.291426
0.819993,-0.237634
0.824993,0.391079
0.829993,0.002922
0.834993,0.251396
0.839993,0.001742
0.844993,0.583754
0.849993,-0.128785
0.854993,-0.147648
0.859993,-0.384375
0.864992,-0.202193
0.869992,-0.502963
0.874992,0.083368
0.879992,-0.118465
0.884992,-0.413997
0.889992,-0.690262
0.894992,-0.715383
0.899992,0.460336
0.904992,-0.026852
0.909992,0.184769
0.914992,-0.334697
0.919992,-0.375227
0.924992,-0.260798
0.929992,0.472583
0.934992,-0.443934
0.939991,0.304849
0.944991,-0.233693
0.949991,1.258107
0.954991,-0.654287
0.959991,0.488613
0.964991,1.197411
0.969991,-0.720185
0.974991,0.978458
0.979991,-0.667155
0.984991,0.197480
0.989991,0.656275
0.994991,-0.582532
0.999991,0.272928
1.004991,0.178699
1.009991,0.032783
1.014991,0.962967
1.019992,0.632977
1.024992,-0.066327
1.029992,-0.658067
1.034992,0.031275
1.039993,0.011921
1.044993,-0.032881
1.049993,0.730499
1.054993,-0.057487
1.059994,-0.140842
1.064994,-0.044241
1.069994,-0.274045
1.074994,-0.155652
1.079994,0.575257
1.084995,0.134964
1.089995,-0.111641
1.094995,-0.085681
1.099995,0.475553
1.104996,-0.125004
1.109996,0.522290
1.114996,-0.254253
1.119996,-0.118414
1.124997,-0.349631
1.129997,-0.803751
1.134997,0.350000
1.139997,0.145439
1.144997,-0.342605
1.149998,1.007036
1.154998,0.364752
1.159998,-0.029294
1.164998,-0.402465
1.169999,-0.158847
1.174999,0.425192
1.179999,0.227901
1.184999,-0.494146
1.190000,-0.463384
1.195000,-0.064168
1.200000,-0.193671
1.205000,0.047731
1.210001,0.071389
1.215001,-0.222549
1.220001,-0.848669
1.225001,0.690208
1.230001,-0.003648
1.235002,-0.484058
1.240002,-0.555188
1.245002,-0.259101
1.250002,-1.039715
1.255003,0.246086
1.260003,0.910666
1.265003,-0.358842
1.270003,-0.053471
1.275004,0.514817
1.280004,0.450924
1.285004,0.298257
1.290004,-0.893286
1.295004,0.113973
1.300005,0.242232
1.305005,0.065874
1.310005,-0.524803
1.315005,0.054696
1.320006,-0.163853
1.325006,0.368327
1.330006,0.015008
1.335006,-0.262260
1.340007,0.233997
1.345007,-0.431181
1.350007,0.115418
1.355007,-0.741839
1.360008,-0.243465
1.365008,-0.173035
1.370008,-0.299926
1.375008,1.202261
1.380008,-0.581232
1.385009,0.212255
1.390009,-0.136694
1.395009,0.181638
1.400009,-0.009818
1.405010,1.173353
1.410010,-0.144775
1.415010,-0.356626
1.420010,0.468923
1.425011,-0.351749
1.430011,0.913861
1.435011,-0.031384
1.440011,-0.116373
1.445011,0.519718
1.450012,0.025478
1.455012,-0.625991
1.460012,-0.185424
1.465012,0.249279
1.470013,0.238061
1.475013,0.713757
1.480013,-0.821288
1.485013,-0.418485
1.490014,0.469125
1.495014,0.601233
1.500014,0.181800
1.505014,0.095631
1.510015,0.492341
1.515015,-0.023354
1.520015,0.204527
1.525015,0.541286
1.530015,0.227993
1.535016,-0.827384
1.540016,0.032065
1.545016,-0.168099
1.550016,0.386848
1.555017,0.215750
1.560017,0.553938
1.565017,0.677213
1.570017,0.411703
1.575018,-0.870864
1.580018,-0.164455
1.585018,-0.613968
1.590018,-0.018235
1.595019,-0.127563
1.600019,-0.735659
1.605019,0.050812
1.610019,0.051580
1.615019,0.145607
1.620020,-1.053355
1.625020,-0.108901
1.630020,-0.424308
1.635020,0.656737
1.640021,0.465901
1.645021,-0.232652
1.650021,-0.553660
1.655021,-0.196052
1.660022,0.200702
1.665022,0.440725
1.670022,0.723664
1.675022,0.661331
1.680022,0.712279
1.685023,0.494322
1.690023,0.652894
1.695023,-0.006702
1.700023,0.052335
1.705024,-0.678868
1.710024,0.203058
1.715024,-0.126783
1.720024,-0.850263
1.725025,-0.156861
1.730025,-0.761947
1.735025,0.031641
1.740025,-0.063724
1.745026,0.312025
1.750026,0.078992
1.755026,-0.398279
1.760026,0.160970
1.765026,-0.071692
1.770027,0.231152
1.775027,-0.700597
1.780027,0.010642
1.785027,0.167158
1.790028,0.265374
1.795028,-0.208747
1.800028,0.458988
1.805028,-0.556023
1.810029,0.040823
1.815029,0.344590
1.820029,0.545189
1.825029,-0.373010
1.830029,0.103012
1.835030,-0.370454
1.840030,-0.549450
1.845030,0.498066
1.850030,0.305729
1.855031,-0.187713
1.860031,-0.770601
1.865031,-0.269776
1.870031,0.544480
1.875032,0.370604
1.880032,0.085960
1.885032,-0.213068
1.890032,-0.824389
1.895033,0.089139
1.900033,-0.157652
1.905033,-1.187660
1.910033,0.403118
1.915033,0.087628
1.920034,-0.602425
1.925034,0.098674
1.930034,0.620513
1.935034,-0.065650
1.940035,0.209014
1.945035,-0.044247
1.950035,0.426546
1.955035,-0.082493
1.960036,-0.403637
1.965036,-0.584681
1.970036,0.542919
1.975036,-0.394024
1.980036,-0.211613
1.985037,0.404587
1.990037,-0.309666
1.995037,0.415770
2.000037,0.199545
2.005037,-0.407527
2.010037,0.358845
2.015036,0.204638
2.020036,0.213375
2.025036,0.207207
2.030035,-0.381353
2.035035,0.588892
2.040035,0.354664
2.045034,-0.499611
2.050034,0.046284
2.055033,0.807727
2.060033,-0.233851
2.065033,-0.356808
2.070032,-0.035273
2.075032,-0.291080
2.080032,-0.421582
2.085031,0.565729
2.090031,0.070953
2.095031,-0.577257
2.100030,0.290723
2.105030,-0.171360
2.110029,0.885273
2.115029,-0.719941
2.120029,-0.307614
2.125028,-0.020746
2.130028,0.726214
2.135028,-0.354481
2.140027,-1.906197
2.145027,0.291461
2.150027,-0.261121
2.155026,0.126112
2.160026,0.470634
2.165025,-0.334703
2.170025,-0.729640
2.175025,-0.469419
2.180024,0.142817
2.185024,0.422740
2.190024,-0.108783
2.195023,0.260219
2.200023,-0.584137
2.205023,0.030817
2.210022,0.671608
2.215022,1.215049
2.220021,-0.317278
2.225021,-0.627086
2.230021,0.351502
2.235020,-0.033248
2.240020,-0.032559
2.245020,-0.564230
2.250019,-0.702208
2.255019,-0.945821
2.260019,-1.343769
2.265018,-0.179895
2.270018,0.199877
2.275017,0.330434
2.280017,0.769084
2.285017,-0.215718
2.290016,0.076921
2.295016,-0.694230
2.300016,0.935027
2.305015,0.086839
2.310015,0.814985
2.315015,0.390680
2.320014,1.024400
2.325014,0.208101
2.330014,-0.049527
2.335013,-0.128492
2.340013,-0.472070
2.345012,0.150197
2.350012,0.728946
2.355012,-0.391006
2.360011,0.292050
2.365011,-0.764397
2.370011,0.695786
2.375010,0.190608
2.380010,-0.086198
2.385010,-1.252051
2.390009,-0.383482
2.395009,0.015136
2.400008,0.104688
2.405008,-0.045022
2.410008,-0.273720
2.415007,-0.103722
2.420007,0.557360
2.425007,0.340528
2.430006,0.608382
2.435006,-0.364371
2.440006,-0.156620
2.445005,0.223359
2.450005,-0.066139
2.455004,0.687088
2.460004,0.443738
2.465004,-0.895783
2.470003,-0.623195
2.475003,-0.392086
2.480003,0.227852
2.485002,0.111445
2.490002,-0.907197
2.495002,-0.210125
2.500001,0.043634
2.505001,0.264240
2.510000,-0.026315
2.515000,-0.417508
2.520000,-0.034983
2.524999,-0.494495
2.529999,0.213517
2.534999,-0.642849
2.539998,0.086475
2.544998,0.077458
2.549998,-0.282538
2.554997,-0.312772
2.559997,-0.144713
2.564996,-0.127870
2.569996,-0.958783
2.574996,0.136436
2.579995,-0.287242
2.584995,0.306784
2.589995,0.453762
2.594994,-0.815746
2.599994,0.520802
2.604994,0.766363
2.609993,0.524896
2.614993,1.271998
2.619992,-0.142478
2.624992,0.834149
2.629992,-0.355482
2.634991,-0.563248
2.639991,0.870862
2.644991,0.632619
2.649990,0.007259
2.654990,-0.195471
2.659990,0.373125
2.664989,0.290250
2.669989,-0.120065
2.674989,0.723138
2.679988,-0.727044
2.684988,-0.666830
2.689987,0.289837
2.694987,-0.585447
2.699987,-0.034129
2.704986,-0.586196
2.709986,0.264362
2.714986,-0.771562
2.719985,0.414820
2.724985,-0.357116
2.729985,0.590072
2.734984,0.409334
2.739984,-0.093369
2.744983,-0.575876
2.749983,-0.076267
2.754983,0.405647
2.759982,-0.590220
2.764982,0.025304
2.769982,0.200703
2.774981,0.254616
2.779981,0.616611
2.784981,0.479753
2.789980,-0.219686
2.794980,-0.127492
2.799979,0.015327
2.804979,-0.197085
2.809979,-0.389234
2.814978,0.047015
2.819978,0.143590
2.824978,-0.506253
2.829977,0.749104
2.834977,0.249307
2.839977,0.561621
2.844976,0.815974
2.849976,-0.436749
2.854975,-0.130296
2.859975,-0.036334
2.864975,-0.911855
2.869974,0.727573
2.874974,-0.469461
2.879974,0.178828
2.884973,0.348419
2.889973,-0.265925
2.894973,-0.171725
2.899972,0.570326
2.904972,-0.034108
2.909971,0.771735
2.914971,0.257248
2.919971,0.274202
2.924970,0.185506
2.929970,-0.603819
2.934970,-0.201214
2.939969,-0.053172
2.944969,-0.281068
2.949969,0.205203
2.954968,0.211653
2.959968,-0.840482
2.964967,0.181553
2.969967,0.025461
2.974967,0.479158
2.979966,-0.251953
2.984966,-0.441154
2.989966,-0.147251
2.994965,0.984539
2.999965,-1.209701
3.004965,0.342849
3.009964,0.831556
3.014964,-0.288760
3.019964,-0.352712
3.024963,0.247665
3.029963,-0.237623
3.034962,-0.436653
3.039962,0.101335
3.044962,0.050506
3.049961,0.595102
3.054961,-0.273573
3.059961,-0.442172
3.064960,-0.052527
3.069960,0.299451
3.074960,0.152881
3.079959,-0.553077
3.084959,0.425260
3.089958,-0.016865
3.094958,-1.004976
3.099958,-0.470024
3.104957,-0.344493
3.109957,0.042976
3.114957,0.064166
3.119956,-0.816992
3.124956,0.068593
3.129956,0.900192
3.134955,0.976029
3.139955,-0.062074
3.144954,-0.735967
3.149954,-1.071633
3.154954,0.454304
3.159953,-0.029398
3.164953,-0.256080
3.169953,-0.530752
3.174952,0.022888
3.179952,0.177431
3.184952,-0.694842
3.189951,-0.327841
3.194951,0.808759
3.199950,-0.295064
3.204950,-0.445003
3.209950,0.663017
3.214949,0.305412
3.219949,-0.607962
3.224949,0.210096
3.229948,0.160918
3.234948,0.439864
3.239948,-0.499154
3.244947,-0.042018
3.249947,0.187210
3.254946,-0.186878
3.259946,-0.018544
3.264946,-0.698547
3.269945,-0.558347
3.274945,0.603336
3.279945,-0.914808
3.284944,-0.272804
3.289944,-0.164865
3.294944,-0.276158
3.299943,-0.316407
3.304943,-0.261611
3.309942,0.024529
3.314942,0.696851
3.319942,-1.032570
3.324941,-0.014081
3.329941,0.772564
3.334941,-0.224034
3.339940,-0.609855
3.344940,0.020878
3.349940,-0.218964
3.354939,-0.462777
3.359939,-0.773642
3.364938,-0.099536
3.369938,-0.556955
3.374938,0.278111
3.379937,-0.025383
3.384937,-0.392616
3.389937,-1.008083
3.394936,-0.424841
3.399936,-0.717616
3.404936,0.706578
3.409935,0.051509
3.414935,0.022050
3.419935,0.337918
3.424934,0.695369
3.429934,-0.016695
3.434933,0.141985
3.439933,1.378283
3.444933,-0.164977
3.449932,-0.059996
3.454932,-0.180105
3.459932,0.472622
3.464931,-0.541895
3.469931,-0.358473
3.474931,0.942110
3.479930,-0.535302
3.484930,0.063642
3.489929,-0.295203
3.494929,0.120625
3.499929,0.241074
3.504928,-0.578465
3.509928,-0.559450
3.514928,-0.852835
3.519927,-0.643967
3.524927,0.620687
3.529927,-0.537942
3.534926,-0.255345
3.539926,-0.818331
3.544925,-0.304171
3.549925,-0.076640
3.554925,0.285883
3.559924,0.280995
3.564924,0.138135
3.569924,-0.199283
3.574923,0.020051
3.579923,-0.573815
3.584923,0.675199
3.589922,-0.721219
3.594922,0.077397
3.599921,0.478630
3.604921,0.366196
3.609921,0.835593
3.614920,0.195830
3.619920,0.094719
3.624920,-0.596039
3.629919,-1.100964
3.634919,0.896514
3.639919,0.720353
3.644918,0.171289
3.649918,-0.786420
3.654917,0.141602
3.659917,0.194049
3.664917,0.743517
3.669916,-0.269673
3.674916,0.095924
3.679916,-0.185787
3.684915,0.442711
3.689915,-0.607768
3.694915,0.107429
3.699914,-0.937100
3.704914,-1.065619
3.709913,1.402726
3.714913,0.678888
3.719913,-0.311700
3.724912,0.256810
3.729912,0.037788
3.734912,0.146569
3.739911,-0.552679
3.744911,0.429153
3.749911,0.528982
3.754910,0.329830
3.759910,-0.308325
3.764910,0.509617
3.769909,-0.021486
3.774909,0.509318
3.779908,0.169284
3.784908,-0.716613
3.789908,0.841477
3.794907,0.230503
3.799907,0.217854
3.804907,1.104498
3.809906,-0.981744
3.814906,-0.113507
3.819906,-0.620131
3.824905,0.575414
3.829905,-0.251389
3.834904,-0.547541
3.839904,-0.526626
3.844904,0.823062
3.849903,0.973760
3.854903,-0.191706
3.859903,-0.540860
3.864902,0.187224
3.869902,0.190378
3.874902,0.760761
3.879901,-0.484340
3.884901,-0.218038
3.889900,-0.822749
3.894900,0.316912
3.899900,0.258508
3.904899,-0.651694
3.909899,0.319916
3.914899,0.525854
3.919898,-0.662834
3.924898,0.458860
3.929898,-0.165725
3.934897,0.138975
3.939897,0.210924
3.944896,-0.193595
3.949896,-0.431260
3.954896,0.031587
3.959895,-0.790392
3.964895,-0.437938
3.969895,-0.387822
3.974894,0.227451
3.979894,0.420550
3.984894,-0.425114
3.989893,-0.125615
3.994893,0.999576
3.999892,-0.174870
4.004892,0.187174
4.009892,0.723420
4.014892,0.085192
4.019891,-0.467260
4.024891,0.621324
4.029891,-0.269308
4.034890,-0.289010
4.039890,-0.703493
4.044889,-0.422947
4.049889,-0.721292
4.054889,0.342644
4.059888,-0.123633
4.064888,-0.681202
4.069888,-0.188485
4.074887,0.201688
4.079887,-0.167027
4.084887,-0.081641
4.089886,0.569764
4.094886,-0.250380
4.099885,0.060159
4.104885,0.014218
4.109885,-0.238274
4.114884,-0.041566
4.119884,-0.152220
4.124884,-0.940991
4.129883,-0.378335
4.134883,0.113469
4.139883,-0.611325
4.144882,-0.619346
4.149882,0.969623
4.154881,0.670709
4.159881,0.384223
4.164881,-0.164314
4.169880,-0.590765
4.174880,0.143325
4.179880,0.392688
4.184879,-0.328342
4.189879,0.383268
4.194879,-0.390981
4.199878,-0.244819
4.204878,-0.881540
4.209877,0.392456
4.214877,-0.102251
4.219877,0.730385
4.224876,0.574203
4.229876,0.573823
4.234876,-0.432117
4.239875,0.791024
4.244875,-0.118488
4.249875,0.627451
4.254874,-0.644857
4.259874,-0.317844
4.264874,0.266875
4.269873,0.050265
4.274873,-0.015879
4.279872,0.154067
4.284872,-0.160205
4.289872,-0.200267
4.294871,0.388093
4.299871,-0.183987
4.304871,0.220049
4.309870,-0.925479
4.314870,-0.536386
4.319870,-0.845686
4.324869,0.286216
4.329869,0.324754
4.334868,-0.146310
4.339868,0.684174
4.344868,-0.448009
4.349867,-0.306789
4.354867,0.521815
4.359867,-0.068523
4.364866,0.042032
4.369866,-0.363853
4.374866,0.006081
4.379865,-0.060286
4.384865,0.125331
4.389864,-0.549503
4.394864,0.587738
4.399864,0.336791
4.404863,0.958811
4.409863,0.286984
4.414863,0.621566
4.419862,-0.311472
4.424862,-0.402215
4.429862,-0.012846
4.434861,-1.264692
4.439861,0.550269
4.444860,-0.174730
4.449860,0.544281
4.454860,-0.433629
4.459859,-0.247062
4.464859,0.673454
4.469859,0.032907
4.474858,-0.770680
4.479858,-0.605264
4.484858,-0.744046
4.489857,-0.371084
4.494857,-0.469599
4.499856,0.601881
4.504856,0.247161
4.509856,0.242496
4.514855,-0.428763
4.519855,-0.459795
4.524855,-0.042243
